,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
ETHD,Ethereum Dark,Scrypt,PoW/PoS,4200000,4200000
REC,Regalcoin,X11,PoW/PoS,7262402.04264803,27000000
TZC,TrezarCoin,NeoScrypt,PoW/PoS,235854700,400000000
ELM,Elements,X11,PoW,2702855668.85288,1800000000
TER,TerraNovaCoin,Scrypt,PoW/PoS,1140734.91680375,15733333
VIVO,VIVO Coin,NeoScrypt,PoW,4165967.57499639,27000000
RUP,Rupee,Lyra2REv2,PoS,24000000,24000000
NAMO,NamoCoin,NIST5,PoW/PoS,560563220,1200000000
LUX,LUXCoin,PHI1612,PoW/PoS,10874669.2567421,60000000
BTDX,Bitcloud 2.0,Quark,PoW/PoS,34643778.4090687,200000000
BLHC,BlackholeCoin,Scrypt,PoW/PoS,16362544.992,14788275.991
INN,Innova,NeoScrypt,PoW,6375259.04,45000000
ZEPH,Zeph,SHA-256,DPoS,1999999995.3056,2000000000
MAG,Magnet,X11,PoW/PoS,38198594.8342105,144000000
TAU,Lamden Tau,DPoS,DPoS,288090567.493887,500000000
XSH,SHIELD,Multiple,PoW,481730566.566176,660000000
CNBC,Cash & Back Coin,Scrypt,PoW/PoS,110976977.29338,210000000
XUN,UltraNote,CryptoNight,PoW,522232,85000000000
GLT,GlobalToken,SHA-256,PoW,113093349.999995,168000000
BWK,Bulwark,NIST5,PoS,13247178.8807286,27716121
KLKS,Kalkulus,Quark,PoS,18734585.148556,20000000
AC3,AC3,X11,PoW,80316207,550000000
LTHN,Lethean,CryptoNight-V7,PoW,441250233.377,999481516
GER,GermanCoin,Scrypt,PoW/PoS,4911500269.41,50000000000
LTCU,LiteCoin Ultra,Scrypt,PoW/PoS,8419402.321,150000000
POP,PopularCoin,Scrypt,PoW,4125828770.55673,4999999999
PHO,Photon,BLAKE256,PoW,36204987576.9931, 90000000000
SUCR,Sucre,X11,PoW,4229040.50393462,19800000
SPK,SparksPay,NeoScrypt,PoW,8245085.33355824,21000000
WAGE,Digiwage,Quark,PoS,27299680,120000000
GUN,GunCoin,NeoScrypt,PoW,316654978,500000000
IRL,IrishCoin,Scrypt,PoW,52961249.3398182,64000000
TROLL,Trollcoin,Scrypt,PoW/PoS,602017554,900000000
LCP,Litecoin Plus,Scrypt,PoW/PoS,2885198.176369,4000000
PCOIN,Pioneer Coin,X11,PoW,9615020.72869947,23000000
UBTC,UnitedBitcoin,SHA-256,PoW,20166000,20166000
ITZ,Interzone,C11,PoW,12651496.7792101,23000000
TPAY,TokenPay,POS 3.0,PoS,21602620.6228519,25000000
MCT,1717 Masonic Commemorative Token,Ethash,PoS,1618033,1618033
MUN,MUNcoin,SkunkHash,PoW,4818338.98949984,16600000
SSS,ShareChain,Scrypt,PoW,10000000000,10000000000
KREDS,KREDS,Lyra2REv2,PoW,8023162.99948971,1100000000
TOKC,Tokyo Coin,X13,PoS,230298925,800000000
BBP,BiblePay,Proof-of-BibleHash,POBh,2553581251.68112,5200000000
LCC,LitecoinCash,SHA-256 + Hive,PoW + Hive,693472699.958494,840000000
FLIP,BitFlip,Scrypt,PoW,12446100.00278,40000000
ALX,ALAX,DPoS,DPoS,1000000000,1000000000
CIF,Crypto Improvement Fund,X11,PoW,211297638.500483,500000000
SPD,Stipend,C11,PoW/PoS,11521189.2846649,19340594
PUSHI,Pushi,X11,PoW/PoS,2167827.1,25000000
ELP,Ellerium,XEVAN,PoW/PoS,419275.38,60000000
VLX,Velox,Scrypt,PoS,25570013.1348022,124000000
CLO,Callisto Network,Ethash,PoW,247612453,6500000000
TUBE,BitTube,CryptoNight,PoW,80049082.9057215,1000000000
PSD,Poseidon,Scrypt,PoW,4070212.1493016,21000000
ADK,Aidos Kuneen,IMesh,PoW,25000000,25000000
BSX,Bitspace,NIST5,PoW/PoS,13984940.8046531,50000000
BRIA,Briacoin,Scrypt,PoW/PoS,845637.81347436,3000000
IC,Ignition,Scrypt,PoW/PoS,1353611.4,5000000
MEDIC,MedicCoin,Scrypt,PoS,267297676.3125,500000000
ALPS,Alpenschillling,Lyra2Z,PoW,27340501.6514783,300000000
ABJ,Abjcoin,Scrypt,PoW/PoS,9880502.37178894,30000000
FTO,FuturoCoin,X11,PoW,31801461.1867843,100000000
XMC,Monero Classic,CryptoNight,PoW,16016864,18400000
PROTON,Proton,X16R,PoS,4403800,45000000
DEAL,iDealCash,Scrypt,PoW/PoS,1724396555.974,5121951220
JUMP,Jumpcoin,NIST5,PoW,21175436.8344203,21000000
XBI,Bitcoin Incognito,XEVAN,PoS/PoW,16308817.6675666,21000000
HWC,HollyWoodCoin,Scrypt,PoS,38706809.466535,26000000
PLTC,PlatinCoin,CryptoNight,PoW,84300,600000518
NCP,Newton Coin,CryptoNight,PoW,41294520017,184000000000
VIG,TheVig,SHA-256D,PoW/PoS,33238183.7225834,100000000
PLURA,PluraCoin,CryptoNight,PoW,744958376.055179,1000000000
EMAR,EmaratCoin,Scrypt,PoW/PoS,21599339.6728,84000000
DKD,Dekado,X15,PoS,30284196.369129,90000000
BWS,BitcoinWSpectrum,SHA-256,PoS,57811001.000889,100262205
XMN,Motion,X16R,PoW,8586665.07980556,22075700
PLUS1,PlusOneCoin,HMQ1725,PoW,8832206.66329808,21000000
AXE,Axe,X11,PoW,5870816.27411671,21000000
DTEM,Dystem,Quark,PoS,8556029.89958439,21000000
TPC,TPCash,Scrypt,PoW/PoS,5403802.49590733,1000000000
WEBC,Webchain,CryptoNight-V7,PoW,15580199.3087496,1750000000
URALS,Urals Coin,XEVAN,PoW,14921928.4775854,210000000
QWC,Qwertycoin,CryptoNight Heavy,PoW,129987372743.977,184470000000
KETAN,Ketan,PoS,PoS,9327131.59708692,210000000
PPAI,Project Pai,SHA-256,PoW,2100000000,2100000000
XCG,Xchange,X16R,PoW,9753753.61515394,100000000
CRYP,CrypticCoin,Equihash,PoW,4235111504,7600000000
BTXC,Bettex coin,XEVAN,PoS,6902423.66368873,50000000
TCH,TigerCash,SHA-256,PoS,1000000000,1000000000
BITM,BitMoney,XEVAN,Pos,208515864.367343,70000000000
FIII,Fiii,SHA3-256,DPoC,-5917977547.96773,5000000000
JMC,Junson Ming Chan Coin,X11,PoS,26871905443.119,0
FRED,FREDEnergy,CryptoNight,PoW,1867054873.28397,8080000000
ZND,Zenad,Quark,POS / MN,37226793.1856022,46000000
UMO,Universal Molecule,Blake,PoW,1997450.69441127,105120001.44
LIT,Lithium,Blake,PoW,16108091.1530747,25228800
PIRATE,PirateCash,Equihash,PoS,25510470,105000000
EXO,Exosis,Exosis,PoW,406091.925,21000000
OWC,Oduwa,Scrypt,PoW/PoS,14802654.0920171,21000000
BEAM,Beam,Equihash,PoW,72781560,262800000
BTT,BitTorrent,TRC10,DPoS,989988668553.032,990000000000
GALI,Galilel,Quark,PoW/PoS,21373997.1897239,0
BTH,Bithereum,Equihash,PoW,25862325,30886000
CSPN,Crypto Sports,Quark,PoS,3094542.8,13370000
CREDIT,Credit,Scrypt,PoW/PoS,30825710000.0296,74800000000
SCRIBE,Scribe Network,Lyra2REv2,PoW,8356744.16725274,32700000
SLC,SLICE,QuBit,PoW,13074751.9743701,100000000
VOLLAR,Vollar,Equihash+Scrypt,PoW,100000000,2100000000
NSD,Nasdacoin,Scrypt,PoW/PoS,22904374.0190465,84000000
GEX,Gexan,PHI2,PoW/PoS,3543680.92621111,21000000
BEET,Beetle Coin,XEVAN,PoW/PoS,242104614.134871,500000000
TTN,Titan Coin,SHA-256D,PoW/PoS,910820210.159069,5000000000
BLAST,BLAST,SHA-256,PoW,45967383.2405293,64000000
XRC,Bitcoin Rhodium,X13,PoW,1303445,2100000
BDX,Beldex,CryptoNight,PoW,980222595,1400222610
STREAM,STREAMIT COIN,Quark,PoS,13525221.9683862,840000000
BLOCM,BLOC.MONEY,Cryptonight Haven,PoW,16427863.395,50000000
LOBS,Lobstex,Quark,PoS,20431727.2324107,78600000
BTCK,Bitcoin Turbo Koin,Quark,PoS,23393156.9759463,21461354
USX,Unified Society USDEX,Scrypt,PoW/PoS,241465761.469601,232000000
CRW,Crown Coin,Multiple,PoS,25732360.3354247,42000000
GEN,Genstake,Scrypt,PoW/PoS,60000000,15000000
VEN,VeChain Old,VeChainThor Authority,Proof of Authority,1000000000,86712634466
PIZZA,PizzaCoin,X11,PoW,1377917,25000000
MUDRA,MudraCoin,X13,PoS,5000000,200000000
STCN,Stakecoin,PoS,PoS,4000000,61599965
FRAZ,FrazCoin,Scrypt,PoW,9704042,20000000
LINX,Linx,Scrypt,PoW,33716526,100000000
XCXT,CoinonatX,X11,PoW/PoS,19539588,48252000
SUMO,Sumokoin,CryptoNight,PoW,8946653,88888888
OMNI,Omni,Scrypt,PoW,616448,616448
ODN,Obsidian,SHA-512,PoS,25000000,91388946
ATCC,ATC Coin,Scrypt,PoW,410000000,410000000
WOMEN,WomenCoin,Scrypt,PoW/PoS,48459472454,90000000000
MAY,Theresa May Coin,SHA-256,PoW/PoS,92050800,100000000
PIRL,Pirl,Dagger,PoW,33986980,156306732.71
XIOS,Xios,Scrypt,PoW/PoS,2149688,21000000
VIP,VIP Tokens,NIST5,PoW/PoS,83450403,90000000
ELLA,Ellaism,Ethash,PoW,12756367,280000000
SAFEX,SafeExchangeCoin,Scrypt,PoC,2147483647,2147483647
SEM,Semux,Semux BFT consensus,DPoS,1231147,100000000
KSH,Kahsh,SHA-256,PoS,76908044.4188464,1000000000
ECA,Electra,NIST5,PoW/PoS,28399150208,30000000000
PART,Particl,PoS,PoS,9702439.3510385,0
ADZ,Adzcoin,X11,PoW,45110324,84000000
GPU,GPU Coin,Scrypt,PoS,40477042,221052632
CARE,Carebit,Quark,PoW/PoS,160861626.788412,200000000
NZL,Zealium,PoS,PoS,15743791.7659781,80000000
COAL,BitCoal,CryptoNight,PoW,4500000,12500000
DAXX,DaxxCoin,Ethash,PoW,520891780,10000000000
MONK,Monkey Project,X11,PoS,4407252,21000000
ZANO,Zano,ProgPowZ,PoW/PoS,12364534.7671598,0
PEPS,PEPS Coin,Quark,PoW,58104756.2681766,75000000
NEET,Neetcoin,Scrypt,PoW/PoS,8113720.58996985,2100000000
NEXT,Next.exchange Token,SHA-256,PoS/PoW,120000000,120000000
KEC,KEYCO,Tribus,PoW,795447,18000000
ZCR,ZCore,Quark,PoS,7807343.85862051,18000000
AEVO,Always Evolving,Scrypt,PoW/PoS,23774503.495822,425000000
DXO,Dextro,SkunkHash v2 Raptor,PoS,2292420.19915416,25000000
GOSS,GOSSIP-Coin,Quark,PoS,32748780.2471063,0
PENG,PENG,X11,PoS,10219484359.2947,16000000000
X42,X42 Protocol,X13,PoS,19734752,42000000
BTL,Bitrolium,Equihash,PoW,71355477,70000000
WCC,Wincash Coin,SHA-256,PoW/PoS,4001426.62313042,20000000
LOKI,Loki,CryptoNight-Heavy,PoW,19153632,150000000
REL,Reliance,X11,PoS,7256580,62000000
XT3,Xt3ch,Scrypt,PoS,7630000.0154,44000000
MGD,MassGrid,Jump Consistent Hash,PoW,140606470.684481,168000000
LYNX,Lynx,Scrypt,HPoW,77872211040.8998,92000000000
POSQ,Poseidon Quark,Quark,PoS,2716264.95302831,650000000 
MUSE,Muse,DPoS,PoS,18194936,18081806 
TRVC,Trivechain,X16R,PoW/PoS,36923120.6205934,82546564
GIC,Giant,Quark,PoW/PoS,8485533.76268001,5151000
ABS,Absolute Coin,Lyra2REv2,PoW/PoS,17009102.9413708,52500000
VITAE,Vitae,Quark,PoS,21041872.4848414,100000000
RYO,Ryo,Cryptonight-GPU,PoW,4890897,88188888
MMO,MMOCoin,Scrypt,PoS,110899137.181097,260000000
PAC,PAC Global,X11,PoS,536982074,100000000000
GIO,Graviocoin,Scrypt,PoW,1171903649.34258,2000000000
DEV,Deviant Coin,PoS,PoS,29890727.3656831,88000000
PAXEX,PAXEX,X11,PoS,4504639,100000000
HERB,HerbCoin,Quark,PoW/PoS,35312185.7437239,54000000
LANA,LanaCoin,SHA-256D,PoW/PoS,1866447442.86133,7506000000
QRL,Quantum Resistant Ledger,RandomX,PoW,72337356.0974049,105000000
GOLOS,Golos,DPoS,PoW,124518891,0
ARRR,Pirate Chain,Equihash,PoW,169917049.30104,200000000
NYC,NewYorkCoin,Scrypt,PoW,143732177387.998,0
CKB,Nervos Network,Eaglesong,PoW,13580978159,25200000000
KCASH,Kcash,SHA-512,Zero-Knowledge Proof,1000000000,1000000000
AAC,Acute Angle Cloud,ECC 256K1,DPOS,1000000000,1000000000
RHP,Rhypton Club,X11,PoW,2103316100.54785,2100000000
PURA,Pura,X11,PoW,175215859,350000000
MWC,MimbleWimbleCoin,C31,PoW,10652359.5569404,20000000
ADM,ADAMANT Messenger,DPoS,DPoS,105360206,200000000
XDNA,XDNA,HEX,PoW/PoS,8086968.7129432,21000000
DAPS,DAPS Coin,Dagger, PoW/PoS/PoA,12125365.9245956,70000000000
FAIR,FairCoin,Groestl,PoW/PoS,53193831,0
RPD,Rapids,Quark,PoS,18555287346.046,35000000000
EMC,Emercoin,SHA-256,PoW/PoS,43059794.804778,1000000000
DDK,DDKoin,Ed25519,DPoS,10633029.4218627,45000000
BITG,BitGreen,Green Protocol,PoS,11738733,21000000
MEC,MegaCoin,Scrypt,PoW,39181300.6180997,42000000
GOST,SoulCoin,Scrypt,PoW/PoS,91478284,1400000000
XDN,DigitalNote ,BMW512 / Echo512,PoW/PoS,5082659799.73176,6999999982
ADA,Cardano,Ouroboros,PoS,25927070538,45000000000
WAVES,Waves,Leased POS,LPoS,100000000,100000000
LOTTO,LottoCoin,Scrypt,PoW,14491014421,18406979840
XIN,Infinity Economics,SHA-256,PoS,8999999990,9000000000
NMC,Namecoin,SHA-256,PoW,14736400,21000000
RDD,Reddcoin,Scrypt,PoW/PoS,29742593566.3238,0
SIB,SibCoin,X11GOST,PoW,17263355,24000000
XZC,Zcoin,Lyra2Z,PoW,7603303.1829079,21400000
POA,Poa Network,Proof-of-Authority,PoA,204479039,252460800
VTC,Vertcoin,Lyra2REv2,PoW,56948048.8166346,84000000
ICX,ICON Project,Loopchain,PoS,400228740,0
ZEC,ZCash,Equihash,PoW,10251493.75,21000000
BTCZ,BitcoinZ,Equihash,PoW,8006260203.69735,21000000000
AUR,Aurora Coin,Scrypt,PoW/PoS,18882141.242959,16768584
BTG,Bitcoin Gold,Equihash,PoW,17202361.088994,21000000
GRS,Groestlcoin,Groestl,PoW,76032253.8873662,105000000
VIA,ViaCoin,Scrypt,PoW,23171215.8652211,23000000
CLOAK,CloakCoin,X13,PoW/PoS,5510477.82477228,0
BCN,ByteCoin,CryptoNight,PoW,184066828814,184467440735
BURST,BurstCoin,Shabal256,PoC,1813033920,2158812800
NAV,NavCoin,X13,PoW/PoS,69820406.9077109,0
ONT,Ontology,VBFT,PoS,637351170,1000000000
DASH,Dash,X11,PoW/PoS,9759167.416265,22000000
ETC,Ethereum Classic,Ethash,PoW,121815756.424921,210000000
XMR,Monero,CryptoNight-V7,PoW,17728117.8106176,0
DCR,Decred,BLAKE256,PoW/PoS,12125353.8218185,21000000
ETH,Ethereum,Ethash,PoW,112517755.749,0
EOS,EOS,DPoS,DPoS,1020544523.0722,0
TRI,Triangles Coin,X13,PoW/PoS,161633.518927,120000
BSV,Bitcoin SV,SHA-256,PoW,18543120.8319233,21000000
EXP,Expanse,Ethash,PoW,10495278,16906397
POT,PotCoin,Scrypt,PoW/PoS,224792738.024217,420000000
NLG,Gulden,Scrypt,PoW,415032420,1680000000
BCD,Bitcoin Diamond,X13,PoW/PoS,183534024.889807,210000000
EMC2,Einsteinium,Scrypt,PoW,220568888.499999,299792458
SYS,SysCoin,SHA-256,PoW,597226537.158509,888000000
FTC,FeatherCoin,NeoScrypt,PoW,230723638.00773,336000000
IOC,IOCoin,X11,PoW/PoS,18436004.9743456,22000000
SMART,SmartCash,Keccak,PoW,2241009149.22257,5000000000
SC,Siacoin,Blake2b,PoW,33098296530,0
BTM,Bytom,Tensority,PoW,1407000000,1407000000
NXT,Nxt,PoS,PoS/LPoS,1000000000,1000000000
BCH,Bitcoin Cash,SHA-256,PoW,18544614.6467998,21000000
AION,Aion,"Equihash210,9",PoW/PoS,33098296530,0
NXS,Nexus,SHA3,PoW/nPoS,63657220,78000000
DGB,DigiByte,Multiple,PoW,13646423312.6,21000000000
VET,VeChain,VeChainThor Authority,Proof of Authority,55454734800,86712634466
QTUM,QTUM,POS 3.0,PoS,100000000,100000000
NANO,Nano,Blake2b,PoW,133248297,340282367
LSK,Lisk,DPoS,DPoS,159918400,159918400
ARK,ARK,DPoS,DPoS,108202084,0
LTC,Litecoin,Scrypt,PoW,66123207.9967574,84000000
KMD,Komodo,Equihash,dPoW/PoW,118662091,200000000
STEEM,Steem,PoS,PoW,99692126,99692126
BTS,Bitshares,SHA-512,PoS,3600570502,3600570502
BTC,Bitcoin,SHA-256,PoW,18517231,21000000
XVG,Verge,Multiple,PoW,16372543743.3634,16555000000
AMB,Amber,Dagger,PoA,361477437.535701,0
ZEN,Horizen,Equihash,PoW,10153950,21000000
ILC,ILCOIN,SHA-256,PoW,1638442500,2500000000
